epoch,Accuracy,Dice Index,Jaccard Index,Sensitivity,Specificity,loss,val_Accuracy,val_Dice Index,val_Jaccard Index,val_Sensitivity,val_Specificity,val_loss
0,0.8295692850748707,0.20013054849047643,0.1487153986535694,0.17003625650232423,0.9937048810609175,0.11665547639131546,0.8536333550347223,0.2995955773506528,0.212557107625527,0.22870556206319606,0.992017404624274,0.10689645260572433
1,0.8999682820638022,0.6635014176504527,0.5501093189637404,0.6600720686695081,0.9745987686242785,0.08605092018842697,0.8822422960069441,0.5583616870877032,0.45851235777108446,0.5163972072417983,0.9871574249283898,0.09086739271879196
2,0.9137322184244789,0.7225956663816824,0.6144575554424497,0.7595166308038567,0.9716971722177848,0.06794783473014832,0.893024359809028,0.6324580528125151,0.5255211112584506,0.6371028129506271,0.9843448786802702,0.0825892761349678
3,0.9204938863118477,0.7450870301171807,0.6366571949994929,0.7944034188380656,0.9722797836205438,0.06201569736003876,0.8979389105902779,0.6595028563617626,0.546289245560215,0.7012235878675148,0.9791445015735015,0.07808937132358551
4,0.9239640909830718,0.7501968067713638,0.6432043198237047,0.8051183134106403,0.9726510164032283,0.058839794248342514,0.901315375434028,0.6755528464012965,0.5568323040987593,0.7455442576794118,0.9717255657035487,0.07516827434301376
5,0.9273142496744775,0.7590333599962507,0.6538224206415456,0.811909127644097,0.9729462183965446,0.05610276013612747,0.9015007866753469,0.6722246340868638,0.550227111575892,0.757264484375974,0.9710417582193496,0.07470206916332245
6,0.9286856486002601,0.7622843880542167,0.6566455193977466,0.8178635245315871,0.9724082631782823,0.05466550588607788,0.8990837944878469,0.6521589383201307,0.5513991322576192,0.6549962781621537,0.9860273690231863,0.07800961285829544
7,0.9315133870442707,0.7704108635625491,0.6658817047176012,0.8206085575954633,0.9740648399959202,0.05250820517539978,0.9050728352864583,0.6867325476676587,0.5611719277508261,0.8024286889667759,0.9621768594939069,0.07147358357906342
8,0.9318074544270843,0.774235501169586,0.671263848825677,0.8237168753438203,0.9730573428240119,0.05186350271105766,0.9076603190104167,0.6882504278376405,0.579636985127056,0.7395779207921477,0.9731289785102161,0.07024642825126648
9,0.933342915852865,0.7770306292158774,0.6756992089854793,0.8270727851046724,0.9733998257489241,0.05092014744877815,0.9079668511284726,0.7024730196892958,0.5835440151395184,0.8008356195746903,0.9619711394849607,0.06893687695264816
10,0.9351556498209639,0.7831905170738813,0.6834801079346149,0.8325340226802342,0.9735763604643097,0.0492614321410656,0.90609619140625,0.6856821534450525,0.5857625304302218,0.7028249572951121,0.9839637162123082,0.07290944457054138
11,0.9365611979166678,0.7881139940655069,0.6890586468551909,0.8337875979365966,0.9733908013572363,0.04787006601691246,0.9096862792968744,0.7036710785150418,0.594666678640952,0.7502661568104042,0.9772140529597095,0.06859197467565536
12,0.9374784444173186,0.7901078780588552,0.6926568551142852,0.8355236751666005,0.9733520425690484,0.04704880341887474,0.9044335937500002,0.6862429772669484,0.5885810126299463,0.6810553058692621,0.9878400743497319,0.07506981492042542
13,0.937890452067058,0.7961717706902032,0.6989489095575838,0.8410326759660938,0.973678696214184,0.0466599315404892,0.910086669921875,0.7122530628162104,0.6037418326930232,0.7516268394408477,0.9788757813965819,0.06853128969669342
14,0.9392579650878912,0.7990458305372552,0.7024101008064423,0.8431983998458593,0.9736459497884332,0.04548889026045799,0.9126799858940975,0.7157789575443974,0.6028824120992504,0.7968501437981024,0.966887467335964,0.06461872160434723
15,0.9405611877441409,0.801134056086921,0.7054496560673841,0.8444452196068495,0.9739632278185721,0.04440002888441086,0.9133919270833337,0.7154459924396054,0.6146661441892114,0.7382658370901967,0.9799201237767106,0.06562906503677368
16,0.9405017801920589,0.8033782471837306,0.7080270126908745,0.8457486429230952,0.9737642183114393,0.04453805461525917,0.9127868652343752,0.724765821543666,0.6086156905675837,0.830810186155254,0.9595900304473001,0.064140684902668
17,0.9416087748209637,0.8071245005355999,0.7131720705063782,0.8495617080168592,0.9738101694769264,0.04352421313524246,0.9125451660156254,0.7131027005145024,0.6175452361850386,0.7070982099940111,0.9868804355955164,0.06887979805469513
18,0.9415191040039079,0.8073606982873469,0.712978517187047,0.8491566229418727,0.973678913704366,0.04361956939101219,0.9172364637586806,0.735891710929697,0.6324177070997631,0.785412326118172,0.9719661973901584,0.0619148313999176
19,0.9427368367513006,0.80974027879294,0.7157917166102211,0.8501311930236458,0.9736772164332896,0.04232669249176979,0.9176584201388891,0.7367944024343117,0.6313581998920711,0.791766158488291,0.9725302631157484,0.06148334965109825
20,0.9430969645182289,0.812219741428031,0.7193545217624286,0.8531356689884039,0.97378964568326,0.042317721992731094,0.9168127441406252,0.7203763238545416,0.6231378680407607,0.7315981045618873,0.9795962211157768,0.06279411911964417
21,0.9428989257812508,0.8130181566895054,0.7201480497957521,0.8541753294464898,0.9734781331800834,0.04237652197480202,0.9179325358072915,0.7344612156201051,0.6322155819323961,0.7771906875788924,0.9746517025800895,0.06158945709466934
22,0.943567362467448,0.8135576038890079,0.7215641111739737,0.8540610636403156,0.9735739760032821,0.04177243262529373,0.9177435980902781,0.7350295397584284,0.6363088497559413,0.752852872976547,0.9814866903756676,0.06318840384483337
23,0.9433241577148439,0.8140597671104421,0.7213229967492302,0.8554381388438208,0.9735142409656208,0.04190153628587723,0.9185213216145833,0.7354647997004036,0.6312425440616329,0.7904888482162031,0.9711545796014422,0.06044716387987137
